source_sha256,document_id,document_paths,speech_subtopics,copies
1be94e7fa86a729a2c16266fd32ed1947793903b5fa50577c9648c697dc0c48b,cia_wire_memo_summer_2020_declass_redacted_1be94e7fa86a,2. ChinaAcquisitionExploitationAmericanVoterData\CIA Wire Memo Summer 2020 DECLASS_REDACTED.pdf | 1. Vulnerabilities in Voting and Counting Systems\CIA Wire Memo Summer 2020 DECLASS REDACTED.pdf,2. China and American voter data | 1. Voting and counting systems,2
6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,2. ChinaAcquisitionExploitationAmericanVoterData\NICA Foreign Threats To 2020 US Election_19AUG2020 DECLASS_REDACTED.pdf | 1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,2. China and American voter data | 1. Voting and counting systems,2
efa073c1baba2f629a41e0c29841a15acf00dc1b7c4ea62fa9e0b208a69619fe,email_everyone_s_favorite_topic_23dec2021_declass_redacted_efa073c1baba,2. ChinaAcquisitionExploitationAmericanVoterData\EMAIL_Everyone's favorite topic 23DEC2021 - DECLASS_REDACTED.pdf | 1. Vulnerabilities in Voting and Counting Systems\EMAIL_Everyone's favorite topic_23DEC2021_DECLASS_REDACTED.pdf,2. China and American voter data | 1. Voting and counting systems,2
