document_id,source_relative_path,source_sha256,page_number,extraction_method,ocr_average_confidence,native_text_characters,extracted_text_characters,review_required,review_reasons,text_file
email_ica_commentsreminorityview_30dec2020_declass_redacted_d393d9815182,1. Vulnerabilities in Voting and Counting Systems\EMAIL_ICA.CommentsReMinorityView_30DEC2020_DECLASS REDACTED.pdf,d393d981518232384b3ca27d077ee5337876d873bd0399a07f98f8e1f5cc432b,2,ocr,94.82619647355163,0,2027,False,,page_text\email_ica_commentsreminorityview_30dec2020_declass_redacted_d393d9815182\page_0002.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,1,native,,2152,2152,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0001.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,2,native,,1311,1311,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0002.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,3,native,,2623,2623,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0003.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,4,native,,1482,1482,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0004.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,5,native,,2246,2246,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0005.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,6,native,,1750,1750,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0006.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,7,native,,1678,1678,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0007.txt
nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8,1. Vulnerabilities in Voting and Counting Systems\NICA_ Foreign Threats to 2020 US election_19AUG2020 - DECLASS_REDACTED.pdf,6e22be494ee83716d2251e71c253ea6d78048694886b7006ce449a336aa9882b,8,native,,1318,1318,False,,page_text\nica_foreign_threats_to_2020_us_election_19aug2020_declass_redacted_6e22be494ee8\page_0008.txt
nicm_chinastepstoinfluenceelection_16oct2020_declass_redacted_a16aec843fdd,1. Vulnerabilities in Voting and Counting Systems\NICM_ChinaStepsToInfluenceElection_16OCT2020_DECLASS_REDACTED.pdf,a16aec843fddd6c525251ab4e4b2b2be1e5cee9aeca4b7bae6a59c9bf3bb2a6d,1,ocr,80.20554272517322,0,2167,False,,page_text\nicm_chinastepstoinfluenceelection_16oct2020_declass_redacted_a16aec843fdd\page_0001.txt
