document_id,category,source_relative_path,source_sha256,source_bytes,page_count,pdf_title,pdf_author,pdf_creator,pdf_creation_date,ocr_pdf_status,ocr_pdf_file,duplicate_source_file
summary_clean_declass_marked_part_1_a21760a27285,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\Summary - clean - declass marked PART 1.pdf,a21760a272855ac6d1e5e53fb7c09dd1df4ebf18816e3be2d893d24344f9ffe0,166584,1,,,,,skipped: ocrmypdf_not_installed,,False
summary_clean_declass_marked_part_2_4130ca794f83,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\Summary - clean - declass marked PART 2.pdf,4130ca794f83c03726a621af7972ea60c24fd3a00a38ca466afede8c0ac05df6,167561,1,,,,,skipped: ocrmypdf_not_installed,,False
summary_clean_declass_marked_part_3_4e5496fc9fef,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\Summary - clean - declass marked PART 3.pdf,4e5496fc9fefbc1b25a8f153e7f928daca2690bb2a71cee89ea9ced058030628,151395,1,,,,,skipped: ocrmypdf_not_installed,,False
tasking_3_albanybriefinghandout_297e_hq_a4095996_notserialized_jet_r_rel_3a12fd071838,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\Tasking_3_AlbanyBriefingHandout_297E_HQ_A4095996_NotSerialized-JET-R RELEASE MARKED.pdf,3a12fd071838ce6e90acf284a97cffbf7b9a47499325d6e80f005941539e073a,9130479,35,,,,,skipped: ocrmypdf_not_installed,,False
us_voter_registration_for_6_states_clean_declass_marked_redacted_ac95b16038bc,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\US Voter Registration  for 6 States - clean - declass marked_Redacted.pdf,ac95b16038bc58837c9800bfc37cb3b208bf45f7ae9fdde7da811ed887ecffe1,836730,6,,,,,skipped: ocrmypdf_not_installed,,False
whtf_government_transparency_states_statement_final_62bc6f53d36e,china_voter_data,2. ChinaAcquisitionExploitationAmericanVoterData\WHTF Government Transparency - States Statement FINAL.pdf,62bc6f53d36ea6ce9c3ffae2a0ead43f0df21fc8d32cd99b980e84ce8c60f353,181149,1,,,,,not_needed,,False
0000001_release_marked_9dea06f5589a,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\0000001 - RELEASE MARKED.pdf,9dea06f5589aba90060ab2868b26b332f84bced02abdf37e46ee320e20b297cd,1828347,6,,,,,skipped: ocrmypdf_not_installed,,False
196_release_marked_daa9c23956b6,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\196 - RELEASE MARKED.pdf,daa9c23956b6b94a33133fba08a9f8a6f61b391bd319d3cecdcfbdd3a1e62002,984367,2,,,,,skipped: ocrmypdf_not_installed,,False
233_release_marked_48c70c3f1665,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\233 - RELEASE MARKED.pdf,48c70c3f1665cb1a4a9d365d1f07ebaae43c6a0dcdd429eb41caf0fa289b2d28,902890,1,,,,,skipped: ocrmypdf_not_installed,,False
265_0000001_release_marked_172a51ee135c,michigan_registration_investigation,3. MichiganVoterRegistrationInvestigation\265_0000001 - RELEASE MARKED.pdf,172a51ee135cbbe45f3fca9c0a05a5c86d0aa825b319db95c6f8517f1762c051,200315,1,,,,,skipped: ocrmypdf_not_installed,,False
